PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category
137.35,318.71,364.07,199.14,13.64,91.82,176,Unhealthy
52.41,196.01,144.18,77.91,11.96,77.02,115,Unhealthy for Sensitive Groups
33.54,84.58,67.25,69.38,7.54,61.69,81,Moderate
2.36,24.76,52.04,25.38,4.37,15.61,49,Good
99.34,339.6,422.54,213.12,15.14,86.94,172,Unhealthy
39.33,160.64,115.0,97.29,12.15,78.35,125,Unhealthy for Sensitive Groups
465.9,506.03,1685.03,892.38,34.49,479.54,360,Hazardous
1.37,32.1,33.73,13.89,2.27,37.88,3,Good
29.94,73.55,96.32,56.22,4.59,64.47,84,Moderate
4.34,52.9,22.87,25.98,1.22,11.82,40,Good
31.37,131.18,87.92,40.59,8.76,61.25,100,Moderate
390.37,574.95,1302.05,807.9,42.35,225.28,303,Hazardous
21.14,80.47,82.23,55.8,7.71,63.33,65,Moderate
32.04,138.78,74.03,72.7,8.52,64.03,51,Moderate
291.4,598.42,1897.7,774.22,31.11,287.14,367,Hazardous
131.98,320.9,593.0,193.13,13.77,101.25,172,Unhealthy
38.97,158.57,265.24,110.43,11.19,78.48,143,Unhealthy for Sensitive Groups
198.64,406.74,741.92,403.36,16.92,198.4,236,Very Unhealthy
38.24,200.91,356.51,173.2,11.69,84.16,112,Unhealthy for Sensitive Groups
154.39,358.39,656.35,583.5,23.62,114.08,220,Very Unhealthy
20.66,115.35,60.95,51.69,5.73,55.78,82,Moderate
40.19,225.61,101.13,125.04,11.64,81.61,122,Unhealthy for Sensitive Groups
10.72,51.6,2.74,16.27,2.92,28.7,42,Good
8.94,7.58,49.17,32.36,2.69,30.34,6,Good
106.76,323.52,380.57,255.06,13.3,92.47,172,Unhealthy
4.45,37.49,35.28,19.36,0.02,35.64,27,Good
22.71,106.94,63.35,47.01,4.56,56.0,74,Moderate
230.07,392.89,1040.84,427.49,19.75,133.36,282,Very Unhealthy
24.3,73.19,79.74,46.4,4.74,58.86,81,Moderate
8.46,12.78,4.86,29.85,0.93,15.31,42,Good
38.5,235.49,358.96,92.34,12.06,82.99,143,Unhealthy for Sensitive Groups
33.75,128.52,66.35,70.72,5.21,68.47,64,Moderate
90.56,336.82,575.65,291.21,12.79,93.92,172,Unhealthy
62.66,257.35,381.65,289.47,14.59,100.8,180,Unhealthy
121.01,331.08,441.83,273.36,13.22,97.63,155,Unhealthy
235.49,393.41,918.01,547.56,27.27,166.19,234,Very Unhealthy
2.58,2.99,21.41,4.79,3.27,47.26,45,Good
50.3,170.86,116.55,86.39,10.08,78.15,111,Unhealthy for Sensitive Groups
3.27,34.54,44.38,27.43,0.49,21.06,31,Good
54.74,215.03,350.79,129.07,11.23,78.6,137,Unhealthy for Sensitive Groups
51.72,233.09,150.71,90.21,11.81,74.1,148,Unhealthy for Sensitive Groups
126.58,326.37,396.01,286.2,12.4,86.32,172,Unhealthy
14.7,148.93,63.18,48.59,8.01,60.39,53,Moderate
13.04,70.98,56.65,41.02,9.05,56.08,77,Moderate
144.72,309.97,413.97,187.31,12.4,92.5,192,Unhealthy
8.04,5.89,33.39,30.29,2.26,6.79,3,Good
42.71,215.04,174.96,104.54,10.28,80.77,147,Unhealthy for Sensitive Groups
14.17,80.46,74.0,40.67,6.61,59.46,98,Moderate
116.92,344.86,562.3,188.55,12.63,93.79,158,Unhealthy
6.71,15.37,34.41,28.26,3.81,21.58,15,Good
13.86,76.52,77.54,43.78,7.23,57.25,69,Moderate
3.65,8.3,49.85,34.96,3.51,37.01,34,Good
32.68,153.41,76.46,59.58,9.14,56.01,94,Moderate
44.94,249.77,323.19,160.12,9.74,75.33,130,Unhealthy for Sensitive Groups
342.09,471.91,1983.74,850.5,40.3,408.16,347,Hazardous
108.69,317.88,360.88,205.82,13.37,94.33,185,Unhealthy
188.75,395.44,951.53,435.33,24.0,111.54,271,Very Unhealthy
13.78,72.88,75.63,50.11,4.74,65.38,76,Moderate
25.64,128.94,72.19,62.2,6.1,56.59,82,Moderate
43.4,197.13,125.36,135.83,11.08,73.94,128,Unhealthy for Sensitive Groups
42.11,170.1,186.13,152.84,9.73,82.91,141,Unhealthy for Sensitive Groups
29.1,69.44,83.95,58.98,4.94,62.44,90,Moderate
188.74,375.14,1226.62,346.66,22.42,155.67,212,Very Unhealthy
44.29,218.98,260.62,179.95,10.39,82.51,108,Unhealthy for Sensitive Groups
249.97,407.41,992.49,387.14,26.59,158.89,219,Very Unhealthy
1.94,28.28,30.34,26.32,0.72,25.95,26,Good
9.18,7.77,15.97,2.97,2.51,33.78,29,Good
224.18,374.62,686.28,364.36,16.37,115.14,251,Very Unhealthy
78.81,255.94,630.14,204.7,12.81,98.52,181,Unhealthy
26.21,81.41,95.57,35.65,8.26,65.8,81,Moderate
315.14,431.69,1642.29,891.78,40.49,284.54,424,Hazardous
23.97,147.0,59.63,57.01,4.89,62.33,98,Moderate
80.04,346.32,409.67,293.92,12.67,92.61,176,Unhealthy
71.89,275.93,567.5,227.76,13.47,93.6,174,Unhealthy
52.64,205.79,148.4,129.5,10.28,77.5,108,Unhealthy for Sensitive Groups
283.42,578.3,1729.26,942.42,44.59,265.19,370,Hazardous
3.81,18.02,19.43,3.87,2.44,44.24,19,Good
428.89,475.57,1429.96,788.08,46.42,263.32,403,Hazardous
42.87,190.52,279.11,130.71,11.91,80.93,112,Unhealthy for Sensitive Groups
215.56,411.95,710.76,510.35,25.46,186.28,208,Very Unhealthy
388.17,581.8,1446.53,634.04,37.98,318.73,470,Hazardous
155.34,407.12,824.96,420.3,23.64,115.92,237,Very Unhealthy
8.67,2.66,25.13,14.71,1.73,41.29,12,Good
52.76,200.28,166.01,132.01,12.35,79.38,150,Unhealthy for Sensitive Groups
9.26,20.32,48.62,34.46,0.67,9.47,17,Good
469.36,590.29,1676.84,784.9,38.46,342.41,355,Hazardous
40.44,220.68,287.56,115.34,11.52,73.34,101,Unhealthy for Sensitive Groups
31.2,137.41,95.76,54.01,7.39,63.93,73,Moderate
198.67,406.24,1199.77,346.42,27.93,163.93,271,Very Unhealthy
43.45,227.91,136.74,163.86,10.99,78.85,129,Unhealthy for Sensitive Groups
59.09,293.64,596.9,300.35,13.8,95.64,174,Unhealthy
27.37,153.88,68.61,59.59,6.64,67.46,77,Moderate
25.67,128.8,63.15,59.14,8.27,60.54,78,Moderate
45.5,245.4,181.15,148.37,10.94,73.31,121,Unhealthy for Sensitive Groups
42.03,214.63,145.18,136.25,11.57,74.17,134,Unhealthy for Sensitive Groups
52.63,212.78,353.61,136.18,10.41,81.58,127,Unhealthy for Sensitive Groups
220.38,376.33,1166.6,549.61,24.17,180.05,266,Very Unhealthy
184.14,369.63,914.37,508.54,29.13,190.96,290,Very Unhealthy
50.41,163.81,342.27,146.28,10.71,74.83,110,Unhealthy for Sensitive Groups
208.22,392.68,878.13,583.74,20.29,181.24,237,Very Unhealthy
24.01,100.09,56.35,38.0,5.75,65.28,85,Moderate
316.05,493.89,1769.13,640.47,43.16,247.4,395,Hazardous
52.86,223.73,345.43,99.53,10.85,81.6,148,Unhealthy for Sensitive Groups
9.37,40.28,9.73,12.18,2.07,36.44,24,Good
7.01,49.48,45.4,17.95,0.43,35.83,22,Good
27.65,81.26,89.2,43.11,9.04,59.31,97,Moderate
2.34,49.94,42.48,14.41,0.08,16.33,28,Good
10.24,2.88,6.32,34.92,4.31,23.97,21,Good
9.99,32.72,14.35,21.77,0.41,1.07,30,Good
20.51,129.18,77.99,72.18,9.37,67.53,82,Moderate
73.37,324.68,519.19,218.16,15.22,93.55,176,Unhealthy
12.83,85.43,90.44,50.13,9.24,58.56,76,Moderate
210.08,362.69,893.13,459.51,24.48,139.05,295,Very Unhealthy
418.26,548.99,1514.93,960.63,39.47,464.37,320,Hazardous
165.37,382.95,1025.15,537.73,26.68,107.43,234,Very Unhealthy
34.59,100.75,86.37,67.98,5.94,65.86,91,Moderate
228.31,399.04,769.87,401.71,24.73,190.66,278,Very Unhealthy
23.11,105.89,76.12,39.35,6.66,57.97,81,Moderate
112.79,272.65,507.04,262.75,13.88,102.24,164,Unhealthy
8.72,26.58,31.08,1.7,2.16,23.56,1,Good
454.32,445.02,1253.34,728.64,41.98,320.68,305,Hazardous
39.83,227.64,198.28,128.19,11.86,73.66,122,Unhealthy for Sensitive Groups
397.13,547.81,1342.18,658.43,48.97,390.68,381,Hazardous
42.88,185.77,163.56,82.9,9.42,83.46,122,Unhealthy for Sensitive Groups
28.28,97.25,57.08,62.5,4.92,68.98,65,Moderate
98.05,323.04,530.3,243.23,12.95,97.73,157,Unhealthy
8.02,7.89,30.34,9.62,3.26,51.46,17,Good
190.28,375.12,818.06,323.06,26.04,111.0,262,Very Unhealthy
46.59,201.29,200.89,176.96,12.39,80.14,121,Unhealthy for Sensitive Groups
194.21,376.14,722.45,564.62,18.96,179.69,287,Very Unhealthy
83.06,344.52,591.26,277.62,13.25,100.74,171,Unhealthy
95.42,283.5,458.33,279.96,12.61,104.57,165,Unhealthy
150.69,397.5,848.26,342.75,21.8,173.64,234,Very Unhealthy
96.05,285.8,589.2,185.27,14.06,95.63,159,Unhealthy
25.05,135.2,79.05,68.83,5.69,56.86,97,Moderate
149.65,333.57,534.77,220.91,15.05,98.13,170,Unhealthy
14.92,137.51,92.0,51.57,9.01,62.31,62,Moderate
31.09,79.3,63.45,36.89,9.4,65.23,78,Moderate
24.43,117.93,99.7,45.63,9.33,65.19,52,Moderate
41.83,154.1,169.5,86.58,11.09,71.75,115,Unhealthy for Sensitive Groups
5.47,25.81,3.82,34.81,3.37,8.31,10,Good
459.01,500.66,1605.03,830.37,44.68,375.23,470,Hazardous
39.78,156.42,153.37,144.13,11.43,75.87,104,Unhealthy for Sensitive Groups
19.38,75.09,77.76,38.63,4.86,63.88,92,Moderate
32.11,77.6,69.43,71.24,7.41,61.39,53,Moderate
15.76,140.72,96.33,59.55,4.61,57.25,82,Moderate
198.5,364.47,651.67,520.47,18.37,160.34,280,Very Unhealthy
68.24,301.93,607.6,201.43,12.64,90.93,157,Unhealthy
52.5,252.67,221.03,128.57,9.79,81.53,132,Unhealthy for Sensitive Groups
145.62,349.1,648.5,221.29,13.31,94.49,184,Unhealthy
34.88,98.12,68.08,42.46,5.48,57.9,73,Moderate
50.69,222.4,240.85,119.72,9.73,84.47,101,Unhealthy for Sensitive Groups
212.67,397.58,1222.8,419.44,17.62,177.76,273,Very Unhealthy
5.79,39.19,8.68,10.57,0.53,22.94,25,Good
14.08,94.2,99.94,54.19,7.01,63.06,93,Moderate
27.48,139.1,93.42,72.2,5.03,66.01,54,Moderate
379.43,597.41,1742.01,681.94,48.56,297.62,313,Hazardous
123.16,264.24,600.54,276.7,13.79,100.4,176,Unhealthy
382.29,579.02,1759.68,787.98,35.98,369.73,416,Hazardous
172.78,411.78,1100.04,469.83,25.33,156.41,253,Very Unhealthy
148.96,325.2,368.81,294.39,14.71,87.64,193,Unhealthy
3.72,23.88,32.88,24.78,1.24,39.68,19,Good
12.11,128.73,94.53,56.98,7.47,57.71,98,Moderate
48.32,172.38,120.67,87.04,10.92,73.79,114,Unhealthy for Sensitive Groups
12.81,118.23,74.18,48.79,4.87,63.79,74,Moderate
13.21,75.55,94.15,67.11,6.11,63.97,86,Moderate
91.71,312.61,392.8,301.48,12.77,87.58,171,Unhealthy
6.68,47.25,33.64,4.7,2.68,34.14,3,Good
8.2,5.72,42.45,28.07,1.12,21.77,13,Good
44.2,201.18,297.87,113.65,11.79,84.65,113,Unhealthy for Sensitive Groups
56.34,279.52,476.46,239.51,15.33,86.69,183,Unhealthy
48.97,155.18,114.8,127.87,12.18,74.89,101,Unhealthy for Sensitive Groups
165.91,396.85,1000.04,536.41,20.86,157.75,234,Very Unhealthy
47.54,219.51,244.3,83.23,12.01,80.08,144,Unhealthy for Sensitive Groups
4.45,22.6,35.52,0.32,2.12,46.48,22,Good
282.07,535.76,1480.04,742.28,31.15,368.68,319,Hazardous
38.32,162.84,112.34,181.29,11.85,76.93,136,Unhealthy for Sensitive Groups
219.11,414.33,1142.12,316.25,22.22,111.05,265,Very Unhealthy
6.64,8.94,37.09,25.12,3.98,52.71,9,Good
5.89,51.78,29.47,3.92,3.72,42.52,49,Good
369.45,463.78,1667.77,1000.25,44.94,262.96,444,Hazardous
173.79,355.6,803.87,419.26,20.65,111.95,272,Very Unhealthy
111.37,263.55,380.42,255.87,14.64,91.64,171,Unhealthy
26.08,140.18,98.22,55.61,7.68,65.78,70,Moderate
87.76,330.79,558.22,215.59,12.88,96.77,153,Unhealthy
14.72,81.28,74.13,72.0,4.87,55.36,96,Moderate
378.43,437.55,1705.39,621.26,32.61,486.66,355,Hazardous
70.35,299.09,631.65,190.35,12.72,87.24,194,Unhealthy
18.58,81.62,85.08,70.4,7.34,58.71,83,Moderate
66.78,345.88,602.83,287.87,14.35,104.37,170,Unhealthy
292.33,580.8,1503.27,649.37,34.09,207.82,432,Hazardous
1.68,23.0,32.66,1.04,4.23,13.32,8,Good
233.99,397.8,1029.51,322.88,20.08,188.33,271,Very Unhealthy
10.3,27.04,41.41,31.62,3.92,6.97,38,Good
42.21,182.36,315.02,130.33,10.39,72.26,109,Unhealthy for Sensitive Groups
30.41,80.6,63.84,74.51,7.07,64.86,58,Moderate
260.84,501.44,1271.13,773.01,48.65,283.9,485,Hazardous
38.63,186.16,319.2,132.71,10.08,74.57,109,Unhealthy for Sensitive Groups
16.49,72.54,60.87,74.24,6.33,62.22,83,Moderate
259.32,519.16,1738.67,670.82,36.08,269.36,351,Hazardous
52.07,163.36,129.62,78.7,11.52,73.39,135,Unhealthy for Sensitive Groups
42.09,235.95,110.45,121.68,10.56,77.88,143,Unhealthy for Sensitive Groups
4.45,32.19,44.41,13.04,2.98,48.98,16,Good
11.61,22.63,40.92,28.79,2.44,38.87,26,Good
23.42,66.73,55.39,59.42,8.18,60.65,92,Moderate
318.14,536.7,2010.64,843.48,33.45,487.88,394,Hazardous
1.47,31.77,16.3,11.12,3.49,47.25,27,Good
15.62,123.04,61.5,51.85,9.15,59.84,53,Moderate
8.37,7.77,5.86,25.22,2.61,8.23,28,Good
31.02,135.21,75.27,59.26,7.43,61.54,89,Moderate
52.21,199.62,217.34,107.11,12.16,82.93,108,Unhealthy for Sensitive Groups
197.44,422.9,937.31,499.06,19.63,154.49,240,Very Unhealthy
34.18,150.45,56.48,54.57,7.99,63.34,88,Moderate
10.83,7.55,6.14,16.67,1.3,10.4,6,Good
36.65,176.2,305.38,123.33,11.09,72.49,116,Unhealthy for Sensitive Groups
7.94,27.24,32.38,17.39,1.4,26.45,8,Good
0.27,30.85,1.91,22.21,0.87,52.82,17,Good
28.23,88.46,68.52,45.32,8.49,69.81,92,Moderate
9.77,12.78,31.18,0.62,4.12,49.89,9,Good
398.58,425.01,1374.37,674.91,48.51,477.0,303,Hazardous
182.4,418.53,891.85,569.35,17.05,125.73,278,Very Unhealthy
193.74,377.23,845.89,332.99,16.43,176.15,288,Very Unhealthy
20.0,150.06,56.05,39.96,4.42,67.29,79,Moderate
20.89,62.9,81.29,44.93,5.35,56.45,84,Moderate
46.13,224.89,170.94,109.23,11.7,77.65,105,Unhealthy for Sensitive Groups
456.57,563.1,1638.38,844.99,31.89,332.07,462,Hazardous
279.86,520.38,1259.28,760.88,42.27,495.92,332,Hazardous
11.71,12.4,46.6,27.37,0.63,21.22,42,Good
88.73,266.74,631.58,260.67,13.74,104.96,156,Unhealthy
51.12,166.39,215.97,100.09,11.78,76.88,121,Unhealthy for Sensitive Groups
1.05,43.31,33.18,20.68,0.89,44.07,45,Good
16.93,62.12,99.52,64.19,8.87,58.95,77,Moderate
22.07,138.67,66.48,54.0,8.37,56.52,57,Moderate
185.54,419.06,1049.9,525.63,15.54,190.31,263,Very Unhealthy
237.98,389.4,710.76,483.2,25.5,157.62,258,Very Unhealthy
21.7,128.48,76.76,50.67,6.5,62.58,93,Moderate
110.68,281.42,369.47,223.09,13.35,86.88,151,Unhealthy
13.54,136.05,82.92,43.01,5.34,58.52,89,Moderate
53.97,168.65,327.45,113.8,11.16,71.54,145,Unhealthy for Sensitive Groups
5.19,16.03,0.78,22.85,1.34,14.61,7,Good
498.72,486.47,1594.48,925.88,47.06,435.08,323,Hazardous
30.28,67.09,83.1,73.08,7.68,55.84,72,Moderate
43.21,221.41,218.09,163.15,10.54,77.04,102,Unhealthy for Sensitive Groups
5.4,27.34,52.95,15.4,4.36,24.9,1,Good
7.19,44.57,37.26,0.67,2.81,11.92,25,Good
105.38,298.86,537.57,191.18,13.78,88.36,161,Unhealthy
4.88,9.8,11.53,7.07,2.65,49.28,43,Good
218.25,396.18,692.78,413.12,27.19,118.53,270,Very Unhealthy
45.78,208.89,324.66,178.9,10.85,72.79,127,Unhealthy for Sensitive Groups
177.58,385.69,708.26,313.07,21.84,140.0,266,Very Unhealthy
20.61,98.82,89.63,36.7,8.62,56.04,61,Moderate
33.53,73.52,88.96,38.54,4.98,63.88,95,Moderate
33.25,73.86,70.99,42.14,7.07,56.18,53,Moderate
98.01,294.42,587.69,263.36,14.05,96.82,152,Unhealthy
20.7,57.51,65.35,37.07,6.55,62.91,97,Moderate
51.93,191.65,164.66,126.98,11.86,83.03,137,Unhealthy for Sensitive Groups
25.0,101.84,93.66,63.46,6.04,57.97,55,Moderate
458.31,505.99,1691.29,806.37,34.49,249.81,302,Hazardous
279.15,528.52,1301.06,919.29,46.49,441.34,437,Hazardous
166.09,378.06,985.52,603.11,19.14,187.67,252,Very Unhealthy
45.65,247.12,150.81,110.11,11.11,74.42,122,Unhealthy for Sensitive Groups
44.83,195.49,197.22,112.26,11.65,74.37,140,Unhealthy for Sensitive Groups
16.2,132.29,99.54,55.16,6.69,56.36,65,Moderate
46.5,247.07,290.22,179.67,10.33,76.32,115,Unhealthy for Sensitive Groups
260.51,489.91,1889.3,895.21,41.61,466.85,448,Hazardous
40.77,235.25,256.63,146.29,12.17,80.0,136,Unhealthy for Sensitive Groups
9.43,36.59,44.36,3.99,0.76,17.23,36,Good
8.07,28.22,12.34,7.99,3.91,3.65,5,Good
51.89,176.25,144.99,165.4,11.03,73.65,119,Unhealthy for Sensitive Groups
49.33,232.69,198.73,173.81,10.19,74.87,132,Unhealthy for Sensitive Groups
38.07,208.97,271.42,105.32,11.91,76.96,144,Unhealthy for Sensitive Groups
39.57,159.41,223.3,158.59,11.38,77.31,143,Unhealthy for Sensitive Groups
237.84,362.42,924.51,499.28,24.79,139.88,300,Very Unhealthy
265.28,571.39,1360.68,999.91,49.7,447.54,324,Hazardous
16.73,152.3,63.2,39.01,8.14,65.46,87,Moderate
47.97,219.39,325.42,76.11,11.86,80.86,142,Unhealthy for Sensitive Groups
373.12,544.08,1325.61,683.37,47.17,253.52,473,Hazardous
48.51,182.35,149.03,146.22,10.85,75.72,124,Unhealthy for Sensitive Groups
51.93,210.3,268.45,156.45,9.53,78.87,102,Unhealthy for Sensitive Groups
35.05,213.43,210.97,178.86,9.55,84.11,128,Unhealthy for Sensitive Groups
37.07,181.82,166.91,170.29,11.78,82.71,108,Unhealthy for Sensitive Groups
69.48,261.11,459.49,254.5,13.05,104.8,157,Unhealthy
48.29,230.75,338.85,171.74,10.38,74.46,128,Unhealthy for Sensitive Groups
49.89,186.08,303.54,128.79,9.51,73.84,114,Unhealthy for Sensitive Groups
18.22,68.74,54.45,35.74,4.85,63.6,86,Moderate
31.88,79.47,76.51,53.1,6.29,64.62,64,Moderate
100.6,319.4,602.78,283.59,12.99,91.24,193,Unhealthy
25.32,116.68,99.06,71.16,5.29,60.77,80,Moderate
9.41,45.96,21.83,12.79,2.56,18.04,6,Good
5.27,31.86,40.03,27.32,3.85,26.53,23,Good
34.28,121.77,59.35,73.12,8.87,66.3,63,Moderate
68.19,269.62,520.87,291.66,13.1,87.47,183,Unhealthy
167.99,393.1,751.14,501.33,17.09,161.53,282,Very Unhealthy
52.85,250.79,186.18,81.81,10.89,75.64,143,Unhealthy for Sensitive Groups
15.53,100.82,60.25,60.29,6.24,58.04,83,Moderate
49.78,176.18,182.23,145.26,11.65,72.32,133,Unhealthy for Sensitive Groups
71.37,282.02,590.63,234.36,13.31,95.57,198,Unhealthy
4.16,46.48,33.97,13.46,3.34,39.3,8,Good
77.89,301.4,461.24,263.59,14.36,95.17,187,Unhealthy
34.45,131.58,73.73,46.46,6.68,69.62,85,Moderate
84.91,353.57,538.76,262.1,14.32,86.08,157,Unhealthy
141.44,299.07,433.92,188.12,14.05,102.62,172,Unhealthy
9.29,41.98,16.0,16.71,3.25,3.35,0,Good
24.55,54.43,88.74,46.19,4.97,58.55,63,Moderate
102.05,344.77,519.97,202.73,14.97,93.89,166,Unhealthy
38.73,233.84,285.05,139.86,12.39,83.27,106,Unhealthy for Sensitive Groups
197.11,387.83,793.85,409.61,21.61,195.67,291,Very Unhealthy
46.1,210.31,125.56,77.88,10.82,79.03,114,Unhealthy for Sensitive Groups
51.36,194.13,258.85,133.67,12.13,79.0,140,Unhealthy for Sensitive Groups
35.63,165.9,121.97,177.11,12.03,84.1,104,Unhealthy for Sensitive Groups
3.07,19.67,25.58,20.66,0.52,13.9,37,Good
5.93,35.24,19.34,1.44,1.11,29.82,16,Good
21.85,121.8,67.87,71.0,5.9,68.25,69,Moderate
52.55,182.78,202.25,105.17,11.98,79.71,147,Unhealthy for Sensitive Groups
51.75,168.79,192.0,79.26,10.43,77.31,111,Unhealthy for Sensitive Groups
312.82,432.2,1429.19,717.21,37.54,332.26,357,Hazardous
1.83,45.01,37.21,9.96,1.49,12.97,17,Good
271.21,510.99,1832.39,848.38,48.22,262.1,474,Hazardous
10.72,50.55,28.16,32.16,3.6,6.42,23,Good
34.41,64.87,83.01,41.99,6.16,60.48,58,Moderate
241.95,404.15,700.89,493.77,22.04,181.32,222,Very Unhealthy
5.24,1.14,26.94,14.28,0.9,21.6,10,Good
31.26,59.79,67.46,61.97,7.22,66.34,69,Moderate
11.1,10.93,37.39,1.78,1.63,27.89,41,Good
22.24,145.33,81.69,68.71,4.99,63.95,78,Moderate
46.42,252.08,181.68,90.29,9.86,80.36,144,Unhealthy for Sensitive Groups
14.06,91.15,77.24,67.41,7.93,56.03,63,Moderate
5.68,42.26,7.5,17.79,1.98,22.5,41,Good
53.64,249.59,248.39,151.51,10.61,82.7,107,Unhealthy for Sensitive Groups
37.34,215.36,343.62,106.54,11.7,72.19,126,Unhealthy for Sensitive Groups
0.27,33.18,11.08,24.44,0.91,17.19,49,Good
54.86,192.02,330.51,181.85,11.48,75.16,119,Unhealthy for Sensitive Groups
6.66,35.52,34.4,32.16,4.19,7.93,22,Good
1.85,34.23,3.03,19.44,3.85,39.88,38,Good
238.88,365.14,1100.99,503.85,15.75,146.85,288,Very Unhealthy
9.97,37.05,31.72,2.73,0.93,52.68,4,Good
32.63,112.26,92.97,63.67,5.4,56.66,91,Moderate
170.83,368.97,1080.81,549.22,25.55,136.32,248,Very Unhealthy
11.43,48.51,28.59,21.71,0.91,5.01,47,Good
72.49,254.63,396.31,224.78,13.37,96.35,191,Unhealthy
5.84,7.42,52.42,0.06,1.16,19.08,14,Good
11.23,16.98,40.74,29.73,4.03,40.63,19,Good
9.13,7.12,15.05,30.34,3.05,49.78,18,Good
79.68,305.91,634.44,227.55,15.38,89.45,185,Unhealthy
49.91,206.9,258.29,110.62,12.2,74.89,122,Unhealthy for Sensitive Groups
2.81,31.92,7.11,24.53,1.66,50.54,10,Good
400.41,426.6,1757.09,879.73,48.1,306.5,498,Hazardous
213.17,419.62,911.57,440.66,20.94,178.32,271,Very Unhealthy
32.2,135.51,77.97,44.82,8.22,63.52,100,Moderate
3.2,42.94,23.76,17.13,1.08,17.36,20,Good
216.79,379.02,671.72,539.22,18.29,189.84,267,Very Unhealthy
34.16,60.99,93.73,63.47,6.92,61.43,52,Moderate
23.42,83.13,54.15,54.76,5.77,55.49,95,Moderate
288.74,603.17,1395.39,775.25,30.92,414.26,448,Hazardous
48.78,192.4,347.83,178.68,10.64,83.37,127,Unhealthy for Sensitive Groups
6.97,37.52,20.56,3.91,1.78,5.14,47,Good
423.19,505.6,1400.45,860.03,47.86,350.95,318,Hazardous
229.24,422.62,974.72,365.13,19.22,123.18,298,Very Unhealthy
7.94,53.28,33.43,12.65,4.05,44.45,28,Good
9.99,43.03,8.23,28.03,3.5,36.04,0,Good
64.05,257.12,488.56,230.38,13.7,94.42,172,Unhealthy
1.16,14.39,26.19,15.34,1.11,53.92,20,Good
53.7,170.03,137.26,123.32,11.74,75.89,142,Unhealthy for Sensitive Groups
5.51,44.09,51.94,29.87,3.23,49.16,42,Good
37.88,178.48,301.35,120.84,11.84,71.06,116,Unhealthy for Sensitive Groups
46.5,197.82,298.83,176.11,9.52,82.42,121,Unhealthy for Sensitive Groups
210.27,357.25,650.92,378.03,20.66,145.55,273,Very Unhealthy
416.86,441.29,1510.09,989.41,44.94,343.0,375,Hazardous
9.34,15.47,32.11,34.23,3.68,35.64,17,Good
36.4,209.69,147.31,158.98,10.3,72.8,124,Unhealthy for Sensitive Groups
46.51,155.12,197.9,132.28,10.31,77.18,124,Unhealthy for Sensitive Groups
40.98,174.76,334.29,105.25,9.45,83.7,117,Unhealthy for Sensitive Groups
117.74,345.01,642.03,202.45,14.69,102.62,171,Unhealthy
77.58,301.44,593.97,198.05,13.03,87.36,156,Unhealthy
401.85,560.03,1749.67,886.71,34.6,290.71,441,Hazardous
33.53,78.59,89.15,59.05,6.24,61.56,55,Moderate
0.09,46.84,46.86,31.35,0.88,6.99,45,Good
